		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000011101  241  241  239  265  255  245  246  267  3.570432 0.893655 SUCCESS  14
000011111  259  236  249  274  229  258  244  258  6.037341 0.643049 SUCCESS  15
000100011  226  223  262  247  265  243  233  279 11.838327 0.158564 SUCCESS  16
000100101  253  263  248  277  258  228  248  268  7.399055 0.494252 SUCCESS  17
000100111  243  247  221  258  255  268  236  253  6.273947 0.616575 SUCCESS  18
000101001  269  233  260  249  254  247  238  245  3.909180 0.865223 SUCCESS  19
000101011  241  247  236  249  252  265  245  250  2.236388 0.972894 SUCCESS  20
000101101  245  263  263  229  243  253  261  247  4.104800 0.847546 SUCCESS  21
000101111  237  247  257  255  260  252  287  245  7.245584 0.510383 SUCCESS  22
000110011  261  268  242  257  217  245  257  275  9.709131 0.286037 SUCCESS  23
000110101  248  237  259  241  261  258  268  239  3.993996 0.857665 SUCCESS  24
000110111  256  273  263  232  232  215  239  275 13.870683 0.085199 SUCCESS  25
000111001  235  244  243  229  253  261  269  272  7.141891 0.521404 SUCCESS  26
000111011  271  253  242  259  282  252  223  264 10.547984 0.228649 SUCCESS  27
000111101  261  225  269  256  255  257  241  236  6.181244 0.626938 SUCCESS  28
000111111  252  230  238  276  234  255  251  251  6.233349 0.621111 SUCCESS  29
001000011  243  240  245  286  268  242  230  223 12.355370 0.136038 SUCCESS  30
001000101  283  266  216  259  256  263  252  252 11.570044 0.171443 SUCCESS  31
001000111  265  240  224  266  254  249  237  256  6.118020 0.634014 SUCCESS  32
001001011  258  262  249  269  232  224  243  243  6.898562 0.547616 SUCCESS  33
001001101  227  267  228  218  241  243  264  248 10.980598 0.202801 SUCCESS  34
001001111  243  253  251  244  263  260  247  257  1.748307 0.987780 SUCCESS  35
001010011  246  238  257  260  235  267  242  234  4.726311 0.786388 SUCCESS  36
001010101  266  267  248  233  247  257  265  261  5.144315 0.742046 SUCCESS  37
001010111  244  224  231  234  218  255  237  242 10.787822 0.214014 SUCCESS  38
001011011  252  255  266  241  265  272  273  256  6.795644 0.558833 SUCCESS  39
001011101  247  224  242  238  251  248  240  239  4.620549 0.797255 SUCCESS  40
001011111  220  272  268  268  258  237  264  259 10.523160 0.230208 SUCCESS  41
001100101  228  264  237  256  240  265  262  249  5.606279 0.691239 SUCCESS  42
001100111  268  262  264  240  230  248  251  259  5.174570 0.738765 SUCCESS  43
001101011  259  242  268  245  284  257  264  238  8.443483 0.391390 SUCCESS  44
001101101  241  250  217  253  239  259  248  235  6.653681 0.574416 SUCCESS  45
001101111  254  291  258  238  247  254  225  265 11.506044 0.174641 SUCCESS  46
001110101  266  265  230  245  245  236  253  267  5.896671 0.658805 SUCCESS  47
001110111  273  247  256  252  260  250  238  231  4.895426 0.768692 SUCCESS  48
001111011  250  256  258  236  260  265  259  241  3.242804 0.918209 SUCCESS  49
001111101  259  248  246  260  235  251  237  251  2.468339 0.963191 SUCCESS  50
001111111  254  255  256  289  243  277  236  244 10.797261 0.213453 SUCCESS  51
010000011  261  246  263  268  232  278  264  245  8.112493 0.422559 SUCCESS  52
010000111  260  247  252  277  252  243  231  244  5.346271 0.720006 SUCCESS  53
010001011  277  260  244  259  235  270  268  257  8.052113 0.428396 SUCCESS  54
010001111  262  251  252  275  249  260  223  252  6.656008 0.574160 SUCCESS  55
010010011  248  256  274  230  237  244  275  265  8.572259 0.379653 SUCCESS  56
010010111  237  262  260  259  252  222  242  266  6.628081 0.577239 SUCCESS  57
010011011  235  247  244  217  240  269  241  255  7.961867 0.437204 SUCCESS  58
010011111  241  248  270  245  259  243  237  226  5.726263 0.677864 SUCCESS  59
010100011  240  257  268  265  221  253  237  254  7.169430 0.518468 SUCCESS  60
010100111  255  252  240  258  275  268  267  243  6.130820 0.632581 SUCCESS  61
010101011  277  254  246  254  241  249  261  269  5.554820 0.696959 SUCCESS  62
010101111  266  263  258  255  249  251  248  260  2.571644 0.958306 SUCCESS  63
010110011  269  247  256  286  236  264  237  226 11.748727 0.162772 SUCCESS  64
010110111  253  262  247  235  259  254  280  249  5.735313 0.676853 SUCCESS  65
010111011  243  220  253  240  241  234  254  244  5.977608 0.649740 SUCCESS  66
010111111  263  253  239  264  263  239  265  233  5.376913 0.716635 SUCCESS  67
011000111  218  242  239  242  281  262  251  254  9.907596 0.271571 SUCCESS  68
011001111  259  260  245  251  214  247  256  256  6.552057 0.585639 SUCCESS  69
011010111  281  239  255  246  280  241  262  250  9.307806 0.316999 SUCCESS  70
011011111  251  270  256  211  265  266  243  253 10.332970 0.242429 SUCCESS  71
011101111  257  229  248  231  249  232  233  226  8.448655 0.390914 SUCCESS  72
011111111  255  259  248  273  255  271  250  232  5.917875 0.656431 SUCCESS  73
100000000  246  225  242  243  259  254  266  244  4.726311 0.786388 SUCCESS  74
