		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000010101  232  256  237  231  278  247  265  248  7.909891 0.442321 SUCCESS  10
000010111  248  239  245  255  249  256  251  275  3.469455 0.901547 SUCCESS  11
000011001  277  287  248  249  256  228  248  267 12.072347 0.148005 SUCCESS  12
000011011  278  248  251  248  210  255  242  236 11.075758 0.197444 SUCCESS  13
000011101  262  256  260  249  254  253  233  253  2.501568 0.961658 SUCCESS  14
000011111  235  240  248  279  257  274  228  272 11.435838 0.178205 SUCCESS  15
000100011  250  263  268  235  243  246  245  239  3.842206 0.871072 SUCCESS  16
000100101  252  239  241  254  252  254  230  263  3.353479 0.910259 SUCCESS  17
000100111  233  268  235  261  271  241  266  234  8.246958 0.409726 SUCCESS  18
000101001  242  240  229  232  244  249  260  254  4.470182 0.812409 SUCCESS  19
000101011  239  247  258  240  250  238  254  238  2.469503 0.963138 SUCCESS  20
000101101  245  272  256  242  260  237  242  230  5.550295 0.697462 SUCCESS  21
000101111  269  253  266  248  237  264  238  276  7.515935 0.482122 SUCCESS  22
000110011  276  285  249  243  221  242  249  247 11.859273 0.157594 SUCCESS  23
000110101  251  251  235  245  253  250  247  238  1.709002 0.988671 SUCCESS  24
000110111  249  246  245  236  224  261  244  254  4.492032 0.810230 SUCCESS  25
000111001  249  226  274  246  239  250  239  259  6.170642 0.628124 SUCCESS  26
000111011  225  235  245  263  262  244  236  259  6.206198 0.624147 SUCCESS  27
000111101  246  247  269  261  234  242  253  274  5.845341 0.664551 SUCCESS  28
000111111  245  249  259  267  266  257  245  270  4.666190 0.792585 SUCCESS  29
001000011  283  242  270  256  247  242  237  264  8.391766 0.396166 SUCCESS  30
001000101  235  247  262  233  263  243  283  240  8.581697 0.378802 SUCCESS  31
001000111  243  241  242  242  247  233  256  246  2.509067 0.961307 SUCCESS  32
001001011  257  228  237  231  249  261  275  229  9.308970 0.316906 SUCCESS  33
001001101  244  262  229  276  264  251  262  231  8.273075 0.407260 SUCCESS  34
001001111  252  222  261  266  294  242  241  240 13.845988 0.085869 SUCCESS  35
001010011  237  262  233  258  258  264  251  266  4.898271 0.768392 SUCCESS  36
001010101  267  231  243  253  268  244  270  271  7.904331 0.442871 SUCCESS  37
001010111  253  226  262  221  248  220  262  245 10.926941 0.205873 SUCCESS  38
001011011  241  258  255  250  266  218  257  216 10.979693 0.202852 SUCCESS  39
001011101  257  227  260  232  236  248  264  247  5.817543 0.667661 SUCCESS  40
001011111  245  252  249  237  250  246  233  251  2.084598 0.978308 SUCCESS  41
001100101  250  268  253  271  245  241  240  238  4.651192 0.794123 SUCCESS  42
001100111  279  251  271  238  254  230  266  246  8.755079 0.363377 SUCCESS  43
001101011  238  237  214  234  260  240  248  228 10.549665 0.228544 SUCCESS  44
001101101  265  275  223  241  234  238  240  229 10.754206 0.216019 SUCCESS  45
001101111  228  255  255  254  238  268  250  245  4.314384 0.827703 SUCCESS  46
001110101  273  277  265  252  257  250  211  245 12.755273 0.120552 SUCCESS  47
001110111  254  243  251  266  257  234  251  263  3.299952 0.914149 SUCCESS  48
001111011  251  238  249  248  228  248  243  272  4.841899 0.774333 SUCCESS  49
001111101  239  246  242  269  253  289  235  258  9.855103 0.275343 SUCCESS  50
001111111  237  243  260  278  265  247  253  244  5.717212 0.678874 SUCCESS  51
010000011  269  265  253  277  231  245  251  270  8.741891 0.364536 SUCCESS  52
010000111  277  252  254  241  240  246  217  281 12.396614 0.134366 SUCCESS  53
010001011  254  257  259  250  253  259  261  248  1.498901 0.992726 SUCCESS  54
010001111  231  227  254  236  241  237  234  243  6.843095 0.553652 SUCCESS  55
010010011  242  263  256  232  235  261  256  234  5.090400 0.747872 SUCCESS  56
010010111  255  243  248  227  263  260  254  232  5.028727 0.754501 SUCCESS  57
